STL,BLK
-25.046057,8.835076
17.858753,36.70173
-34.2404,-29.643633
-44.20615,-25.621912
-51.850903,21.751547
35.4373,8.951744
-31.05769,-34.495964
16.067432,10.61727
-31.05769,-34.495964
-31.05769,-11.731067
-48.10412,-19.444641
-38.462437,-29.643633
-24.43636,-34.495964
-24.43636,8.835076
-2.356132,-29.643633
55.641644,49.879604
-6.059375,80.84323
-41.846684,31.983625
50.30408,31.983625
-54.05044,-15.615564
68.02625,76.15357
-31.05769,-19.444641
-11.481776,-22.369606
60.484795,80.84323
-55.82956,-34.495964
-14.771811,53.792873
59.429165,58.68405
-45.66126,-34.495964
-8.495293,25.4814
21.003983,1.7889841
-21.678957,47.70361
61.285572,31.059725
78.55975,-2.3128285
-2.356132,-5.853178
-54.05044,-34.495964
-56.668312,-42.543365
16.067432,66.51448
-38.462437,-25.621912
55.18734,58.66713
55.79084,68.22925
-56.668312,-29.643633
55.18734,36.70173
-26.308601,-29.643633
-8.495293,-25.621912
-21.10064,50.135635
-14.458013,-25.621912
-14.458013,36.755302
-14.771811,30.435736
-44.20615,-15.615564
-14.458013,-13.536752
68.39055,53.792873
61.402523,-5.853178
-5.900651,-34.495964
-55.82956,-34.495964
-44.20615,-34.495964
-55.82956,-42.543365
35.4373,35.927044
-57.184017,-42.543365
-5.900651,80.84323
-45.66126,-22.369606
68.3772,76.15357
-44.20615,8.951744
37.26788,-15.615564
21.344347,10.61727
-44.20615,0.45466244
5.160911,95.95153
-25.046057,-39.072784
-51.850903,-39.072784
-55.82956,-39.072784
4.849823,-29.643633
50.30408,36.45393
61.402523,80.84323
-56.668312,-6.8279824
-57.184017,-42.543365
-31.05769,-39.072784
-48.10412,-6.8279824
-57.184017,-42.543365
-38.462437,-13.536752
11.292691,-22.369606
-41.846684,-42.543365
-41.846684,-22.369606
-41.846684,-29.643633
-57.184017,-39.072784
-34.2404,-19.444641
-29.45768,-11.731067
9.314967,80.84323
-57.184017,-42.543365
74.80881,25.843992
37.541225,59.311558
-34.2404,30.435736
21.344347,-5.853178
-56.668312,-42.543365
-45.66126,-34.495964
5.160911,30.435736
19.063076,25.843992
39.1113,8.835076
-57.184017,-42.543365
-29.45768,-15.615564
-34.2404,10.61727
67.75061,92.508354
56.764214,30.435736
68.39055,47.70361
-38.462437,30.435736
55.691216,76.15357
-21.10064,-39.072784
-45.66126,10.61727
-21.10064,-15.615564
96.70098,5.8044887
78.360115,5.8044887
21.344347,9.5361185
3.2788622,-15.615564
-57.184017,-42.543365
-45.66126,5.8044887
32.78186,66.51448
37.34117,36.70173
19.063076,13.148211
55.79084,41.859074
-45.66126,-22.369606
-38.462437,24.019812
33.04423,-15.615564
35.4373,-19.444641
-38.462437,-42.543365
49.707012,-2.3128285
53.147846,-5.853178
21.935167,41.859074
-2.356132,-2.3128285
-51.850903,24.019812
55.641644,5.8044887
-34.2404,-15.615564
50.049572,-6.8279824
-56.668312,-42.543365
5.160911,35.927044
68.47351,92.586685
-24.43636,-34.495964
-50.45274,-15.615564
55.79084,66.31204
56.62555,104.853516
36.276993,-15.615564
18.262346,-39.072784
68.48743,36.45393
-6.059375,25.4814
-56.668312,-42.543365
-0.94985425,-15.615564
9.314967,0.45466244
-56.668312,-39.072784
-8.495293,-39.072784
-31.05769,-39.072784
9.314967,-34.495964
55.793777,80.84323
-11.481776,-11.731067
32.78186,1.7889841
21.344347,26.77774
33.04423,0.45466244
-56.668312,-25.621912
11.292691,-34.495964
68.56301,9.5361185
21.003983,14.487788
69.159966,26.77774
-48.10412,16.369156
50.30408,48.703472
28.281696,-25.621912
12.32616,68.01381
59.429165,33.818596
68.48743,-19.444641
56.764214,-6.8279824
68.56301,-2.3128285
11.292691,8.951744
21.003983,-19.444641
59.429165,21.671503
-2.356132,-15.615564
-11.481776,21.671503
21.935167,81.427055
22.299147,-7.605627
16.067432,13.148211
22.299147,-11.731067
59.915165,0.45466244
18.262346,-39.072784
3.2788622,-15.615564
-6.059375,14.487788
17.858753,-2.3128285
-34.2404,-34.495964
42.90778,-25.621912
17.858753,-22.369606
26.703627,0.45466244
-21.10064,21.751547
-0.94985425,-5.853178
-57.184017,-39.072784
53.115517,80.84323
-50.45274,-19.444641
-38.462437,-22.369606
-57.184017,-39.072784
-56.668312,-42.543365
53.147846,8.951744
-25.046057,10.61727
-44.20615,-19.444641
-29.45768,14.487788
-57.184017,-42.543365
68.54597,35.927044
69.159966,-2.3128285
-55.82956,-39.072784
-29.45768,-39.072784
-5.900651,15.936468
17.858753,69.46908
22.299147,-13.536752
-33.57252,-34.495964
-57.184017,-39.072784
-38.462437,17.543674
-57.184017,-42.543365
50.049572,41.859074
-14.458013,-25.621912
-45.66126,-39.072784
17.858753,49.305
-33.57252,-15.615564
65.98763,33.818596
26.703627,-22.369606
-54.05044,-39.072784
-48.10412,-42.543365
74.83281,33.803886
-56.668312,-34.495964
78.22036,17.543674
-2.356132,10.61727
33.04423,39.195488
-57.184017,-29.643633
-51.850903,-5.853178
75.10038,0.45466244
37.34117,-34.495964
27.59872,36.45393
-2.356132,-42.543365
68.56301,8.951744
21.344347,0.45466244
-54.05044,-34.495964
-14.771811,-22.369606
-21.10064,-6.8279824
-26.308601,31.983625
19.063076,14.487788
-56.668312,-42.543365
-31.05769,-42.543365
-0.94985425,24.019812
-55.82956,-39.072784
-21.678957,-11.731067
-26.308601,-5.853178
-26.308601,-19.444641
-21.678957,-2.3128285
-38.462437,-13.536752
-26.308601,-22.369606
54.565662,0.45466244
-38.462437,-19.444641
-57.184017,-42.543365
-51.850903,-42.543365
12.32616,-6.8279824
-41.846684,-25.621912
-24.43636,-19.444641
-21.678957,1.7889841
19.063076,15.936468
42.583744,13.148211
69.32684,38.82505
50.889584,9.5361185
65.98763,21.751547
53.147846,81.308044
-29.45768,-29.643633
90.37083,36.45393
-2.356132,59.880806
21.935167,-5.853178
47.156506,10.61727
-34.2404,-29.643633
12.32616,-13.536752
-21.678957,81.308044
-33.57252,-39.072784
17.858753,85.91674
26.703627,-22.369606
-55.82956,-29.643633
22.299147,66.51448
19.063076,5.8044887
-26.308601,-22.369606
58.200565,58.68405
68.47736,75.846756
-21.10064,14.487788
-0.94985425,-13.536752
65.98763,-5.853178
65.98763,-22.369606
33.04423,8.951744
-57.184017,-42.543365
50.049572,104.853516
-56.668312,-42.543365
-34.2404,-34.495964
28.119085,-15.615564
-0.94985425,8.835076
-21.678957,36.70173
49.707012,8.951744
-45.66126,-22.369606
52.336464,13.148211
-55.82956,-39.072784
9.314967,14.487788
-26.308601,-22.369606
50.889584,30.435736
-57.184017,-42.543365
-25.046057,-42.543365
-5.900651,-11.731067
-38.462437,-15.615564
-50.45274,-39.072784
-56.668312,-7.605627
32.78186,36.79646
35.4373,1.7889841
17.858753,14.487788
19.063076,20.37765
42.90778,-29.643633
